y Effekt (kW);Fabrikat;Nr Anläggning Placering D/H I drift;Ber;2013 2014 2015 12mån 12mån Månad Tid Hindertid (tim);;;;;;;;;;;;;;
Hög Låg;;Benämning;  Ort Karta (m);MWh;MWh MWh MWh MWh  % MWh % AHT MS YNS  ÖYS PU Ö;;;;;;;;;;;;;
500;Vestas;131 Sönnertorp 1;V:a Karup C4a 39/40 950331;890;906 649 731 731 66;1 190 91 3;;;;;;;;;;;;
500;Enercon;147 Ruuthsbo I;Ruuthsbo D1h 40/42 951020;1500;1156 1047 853 853 80;9 162 86 84;;;;;;;;;;;;
500;WindWorld;162 Lucia af Boholmen;Skoghall D10d 37/41 951219;800;582 594 829 829 95;7 126 87 1;;;;;;;;;;;;
500;WindWorld;172 Si-Vind;Lysekil A8f 37/40 951221;950;730 832 1074 1074 99;6 141 83 2;;;;;;;;;;;;
500;Enercon;181 Slitevind XIII;Larsbo Glemm D1i 40/50 960513;1300;1157 1287 1416 1416 93;8 168 80 121;;;;;;;;;;;;
500;Enercon;182 Slitevind XIV;Larsbo Glemm D1i 40/50 960513;1300;1132 873 1288 1288 91;2 164 87 77;;;;;;;;;;;;
500;Enercon;183 Slitevind XVI;Rynge N D2a 40/50 960515;1300;1086 1227 990 990 73;6 33 13 624;;;;;;;;;;;;
500;Vestas;186 Åstorp 1;Åstorp C3e 39/40 960216;860;676 632 740 740 97;4;;;;;;;;;;;;
500;WindWorld;195 Årröd 220001;Årröd D2h 37/41 960523;710;430 786 969 969 93;1 155 91 3;;;;;;;;;;;;
500;WindWorld;216 Legevind;Legeved E3a 37/41 960904;600;551 605 716 716 99;4 109 81 2;;;;;;;;;;;;
500;WindWorld;218 Trollenäs;Trollenäs C2i 37/41 960829;;660 765 806 806 99;4 97 74 2;;;;;;;;;;;;
500;Enercon;229 Hog 1;Stenungsund B7g 40/42 961003;1050;719 727 984 984 97;9 72 45 73;;;;;;;;;;;;
500;Enercon;230 Hog 2;Stenungsund B7g 40/42 961003;1050;916 886 1072 1072 93 166 91 15;;;;;;;;;;;;;
500;Enercon;236 Slitevind XVII;Eriksfält N Ör D1i 40/50 961211;1300;1419 1559 1492 1492 94;1 162 77 157;;;;;;;;;;;;
500;Enercon;237 Slitevind XVIII;Eriksfält S Ör D1i 40/50 961211;1300;1301 1324 1227 1227 85;3 141 74 173;;;;;;;;;;;;
500;Vestas;239 Åstorp 2;Åstorp C3e 39/40 970204;950;713 699 855 855 99;2;;;;;;;;;;;;
500;Enercon;263 Windbyggarna 1;Lärbro J7b 40/65 971220;1100;511 742 402 402 96;8;;;;;;;;;;;;
500;Enercon;264 Isak;Klintehamn I6c 40/50 971219;1300;729 733 1217 1217 96 175 92 40;;;;;;;;;;;;;
500;Enercon;267 Ryftes Kristina;Fole J6g 40/65 971218;1200;847 850 1020 1020 95;3 87 56 315;;;;;;;;;;;;
500;Enercon;269 Kyrkebys 1;Hangvar J7b 40/65 971220;1200;808 640 960 960 96;3 155 98 0;;;;;;;;;;;;
500;Enercon;270 Kyrkebys 2;Hangvar J7b 40/65 971220;1200;850 782 945 945 92;1 154 96 14;;;;;;;;;;;;
500;Enercon;314 St. Herrestad I;St. Herresta D2b 40/65 980712;1420;1071 1160 1597 1597 98;9 214 98 0;;;;;;;;;;;;
500;Enercon;317 St. Herrestad II;St. Herresta D2b 40/65 980712;1420;1146 1255 1441 1441 96;6 206 98 0;;;;;;;;;;;;
500;Enercon;354 Kadesjö I;Trunnerup 9:4 D2a 40/65 981119;1400;1237 1374 1396 1396 95;3 130 70 185;;;;;;;;;;;;
500;Enercon;355 Kadesjö II;Trunnerup 9:4 D2a 40/65 981119;1400;1052 1186 1131 1131 76;2 186 93 17;;;;;;;;;;;;
500;Enercon;356 Marieholm I;Reslöv 11:3 C2i 40/65 981201;1300;1120 1270 1339 1339 97;4 172 95 12;;;;;;;;;;;;
500;Enercon;357 Månslunda I;Månslunda D2f 40/65 981127;1350;1028 1169 1318 1318 98;1 169 93 22;;;;;;;;;;;;
500;Enercon;358 Rydsgård I;Ville 61:8 D2a 40/65 981118;1400;1049 1263 1447 1447 97;6 189 97 4;;;;;;;;;;;;
500;Enercon;359 Rydsgård II;Villie 61:8 D2a 40/65 981120;1400;895 724 1352 1352 98 178 96 8;;;;;;;;;;;;;
500;Enercon;362 Marieholm II;Reslöv 11:3 C2i 40/65 981202;1300;944 1153 1213 1213 95;4 175 96 0;;;;;;;;;;;;
500;Enercon;380 Gunn-El;Köpinge Gård C4e 40/65 990115;1200;944 1177 1343 1343 96 148 73 110;;;;;;;;;;;;;
500;Vestas;504 Seglaberga IV;L.Tjärby C4e 39/40 930701;1000;632 604 855 855 87;1 156 84 0;;;;;;;;;;;;
500;Vestas;519 Värpinge Clara;Lund C2e 39/40 960711;1050;503 804 958 958 97;6 141 88;;;;;;;;;;;;
500;Vestas;543 Slitevind III;Näs I5f 39/41 930209;1350;1027 1153 1179 1179 82;4 203 88 61;;;;;;;;;;;;
500;Vestas;550 Vindudd IV;Grötlingbo J5g 39/41 941115;1050;921 1087 1132 1132 98 168 90 1;;;;;;;;;;;;;
500;Vestas;551 Vindudd V;Grötlingbo J5g 39/41 941115;1050;896 1073 1089 1089 97;8 157 87 14;;;;;;;;;;;;
500;WindWorld;559 Annelöv I;Landskrona C2h 37/41 951220;;817 939 1001 1001 99;5 137 90 2;;;;;;;;;;;;
500;WindWorld;560 Annelöv II;Landskrona C2h 37/41 960307;;710 922 889 889 99;5 91 67 2;;;;;;;;;;;;
500;Enercon;565 Slitevind IX;Smöjen J7c 40/50 951222;1300;946 1150 791 791 71;8;;;;;;;;;;;;
500;Enercon;566 Slitevind X;Smöjen J7c 40/50 951215;1300;935 1077 998 998 97;7;;;;;;;;;;;;
500;Enercon;567 Slitevind XI;Furillen J7c 40/50 951219;1400;672 717 1138 1138 90;6 199 98 0;;;;;;;;;;;;
500;Enercon;568 Slitevind XII;Furillen J7c 40/50 951220;1400;1230 1101 1319 1319 90;4 193 90 60;;;;;;;;;;;;
500;WindWorld;571 Kullamöllan;Nyhamnsläge B3i 37/41 960620;;842 1002 1167 1167 99;5 173 90 1;;;;;;;;;;;;
500;WindWorld;572 Kullavind;Nyhamnsläge B3i 37/41 960620;;953 1083 1289 1289 99;6 195 90 2;;;;;;;;;;;;
500;Enercon;592 Humlekärr 1;Humlekärr A8f 40/42 961024;1300;1034 1267 1541 1541 98;7 182 88 25;;;;;;;;;;;;
500;Enercon;593 Humlekärr 2;Humlekärr A8f 40/42 961024;1300;970 1077 1470 1470 98;1 145 75 126;;;;;;;;;;;;
500;WindWorld;698 Blyger II;Jämjö H4g 37/42 021213;550;594 571 742 742 99;5 113 87 1;;;;;;;;;;;;
550;WindWorld;661 Bockstigen 1;Offshore I5f 37/40 980301;1575;955 1092 1502 1502 96;2 234 94 18;;;;;;;;;;;;
550;WindWorld;662 Bockstigen 2;Offshore I5f 37/40 980301;1575;602 1188 1335 1335 88;8 236 97 3;;;;;;;;;;;;
550;WindWorld;663 Bockstigen 3;Offshore I5f 37/40 980301;1575;1261 1203 1488 1488 92;8 218 91 44;;;;;;;;;;;;
550;WindWorld;664 Bockstigen 4;Offshore I5f 37/40 980301;1575;877 789 0 0 5;1 0 0 741;;;;;;;;;;;;
